en,es_la,Pt_br,ru,tk,zh_tw,zh
,Te gustó este artículo? Compártelo con tus contactos!,Gostou do artigo? Compartilhe com seus amigos!,Нравится статья? Поделитесь им со своими друзьями!,Makaleyi beğendiniz mi? Arkadaşlarınızla paylaşın!,,喜欢这篇文章吗？快点击分享吧！
"We are <span class=""line""><ins>Glue Up </ins></span>","Somos <span class=""line""><ins>Glue Up</ins></span>","Somos <span class=""line""><ins>Glue Up,</ins></span><br> sua plataforma de gerenciamento de engajamento","Мы – это <span class= ""line""><ins>Glue Up </ins></span>","Biz <span class = ""line""> <ins> Glue Up </ins> </span> <br> katılım yönetimi platformunuzuz",,"我们是 <span class=""line""><ins> Glue Up </ins></span><br> "
,Mira como estamos transformando comunidades profesionales a través de soluciones digitales enfocadas en automatización e interacción. ,Veja como estamos transformando comunidades profissionais por meio de soluções digitais com foco em automação e engajamento.,"Узнайте, как мы трансформируем профессиональные сообщества с помощью цифровых решений, направленных на автоматизацию и взаимодействие.", Otomasyona ve etkileşime odaklanan dijital çözümlerle profesyonel toplulukları nasıl dönüştürdüğümüzü görün.,,看看 Glue Up 是如何帮助企业，以及专业社群组织通过自动化云解决方案实现管理与互动关系变革的。
What is Glue Up?,¿Qué es Glue Up?,O que é o Glue Up,Что такое Glue Up,Glue Up nedir,,Glue Up 是谁？
,Administración de contacto ,Gerenciamento de Contatos,Управление контактами,İletişim Yönetimi,,联系人数据管理
,Administra tus contactos todo en uno,Gerencie Seus Contatos All-in-One,Управляйте своими контактами в одном приложении,Kişilerinizi Hepsi Bir Arada Yönetin,,在一体化的云平台中，高效管理您的联系人数据
,Optimiza tus procesos y se eficiente con una plataforma de primer nivel basada en la nube que consolida en un sólo lugar todas tus operaciones e interacción con tus contactos.,Simplifique seus processos e obtenha eficiência com uma plataforma em nuvem de primeira classe que consolida todas as suas operações e engajamento com seus contatos em um só lugar.,"Оптимизируйте свои процессы и добейтесь эффективности с помощью первоклассной облачной платформы, которая объединяет все ваши процессы и взаимодействия с вашими контактами в одном месте.", Tüm operasyonlarınızı ve kişilerinizle olan etkileşiminizi tek bir yerde birleştiren birinci sınıf bir bulut platformuyla süreçlerinizi kolaylaştırın ve verimli olun.,,一体化的智能云平台，整合您所有的运营管理与联系人互动数据，简化流程，高效工作。
,Historia de todas las interacciones.,Histórico de todas as interações,История всех взаимодействий,Tüm etkileşimlerin geçmişi,,查看全部互动历史
,Importación fácil,Importação Fácil,Простой импорт,Kolay İçeri Aktarım,,快速导入数据
,Sincronización automática,Sincronização automática,Автоматическая синхронизация,Otomatik senkronizasyon,,各项数据自动同步
,Etiquetas y filtros,Rótulos e filtros,Метки и фильтры,Etiketler ve filtreler,,添加标签与自定义筛选
,Oportunidades,Oportunidades,Возможности,Fırsatlar,,销售机会
,Automatiza tus flujos de trabajo de ventas,Automatize seus fluxos de trabalho de vendas,Автоматизация процессов продаж,Satış İş Akışlarınızı Otomatikleştirin,,销售工作流程，全面自动化
,Genera ingresos con funciones diseñadas para ayudarte a cerrar más negocios. Todos los miembros del equipo pueden rastrear y administrar oportunidades simultáneamente a través de cada etapa del proceso de ventas.,Gere receita com recursos desenvolvidos para ajudá-lo a fechar mais negócios. Todos os membros da equipe podem rastrear e gerenciar oportunidades simultaneamente em cada estágio do processo de vendas.,"Увеличивайте доход с помощью функций, предназначенных для того, чтобы помочь вам закрыть больше сделок. Все члены команды могут одновременно отслеживать и управлять возможностями на каждом этапе процесса продаж.","Daha fazla anlaşmayı tamamlamanıza yardımcı olmak için tasarlanmış özelliklerle geliri artırın. Tüm ekip üyeleri, satış sürecinin her aşamasında fırsatları aynı anda izleyebilir ve yönetebilir.",,强大功能模块，助力您完成更多销售签单，增加收入。您的团队成员可以在不同的销售阶段同时跟踪和管理多个销售机会。
,Flujo de Ventas,Pipeline de Vendas,План продаж,Satış hattı,,销售漏斗
,Importa tus contratos existentes,Importar negociações existentes,Импортировать существующие сделки, Mevcut anlaşmaları içe aktarın,,导入现有签单数据
,Campos Personalizados,Campos Personalizados,Настраиваемые поля,Özel alanlar,,自定义字段
,Etapas del trato,Estágios do negócio,Этапы сделки,Anlaşma aşamaları,,销售阶段实时监控
,Tareas,Tarefas,Задачи,Görevler,,任务管理
,No te pierdas ningún detalle,Nunca Perca Nada,Никогда ничего не упускайте,Asla bir şeyi kaçırmayın,,不错失任何信息
,Maximiza cada oportunidad de negocio asignando tareas a cada miembro de tu equipo. Da seguimiento a cada prospecto de manera eficiente con nuestra herramientas de seguimiento basadas en perfiles de contactos individuales o empresariales.,Aproveite todas as oportunidades de vendas atribuindo tarefas aos membros da equipe. Acompanhe de forma eficiente todos os leads com ferramentas de rastreamento baseadas em perfis de contato individuais ou empresariais.,"Используйте каждую возможность продаж, назначая задачи членам команды. Эффективно отслеживайте каждое предложение с помощью инструментов отслеживания, основанных на профилях контактов отдельных лиц или компаний.", Ekip üyelerine görevler atayarak her satış fırsatından yararlanın. Bireysel veya şirket iletişim profillerine dayalı izleme araçlarıyla her müşteri adayını verimli bir şekilde takip edin.,,为每一位团队成员分配任务，高效利用每一个销售机会。使用基于个人和公司的联系人数据库及追踪工具，有效跟踪每位潜在客户。
,Administración de proyectos,Gerenciamento de Projetos,Управление Проектом,Proje Yönetimi,,项目管理
,Recordatorios personalizados,Lembretes Personalizados,Персонализированные напоминания,Özel hatırlatmalar,,设置自定义提醒
,Agregar notas y archivos,Adicionar notas & arquivos,Добавление заметок и файлов, Notlar ve dosyalar ekleyin,,可添加备注，上传文件
,Notificaciones push,Notificações Push,Push-уведомления,Push bildirimleri,,推送提醒
,Historia de Tareas,Histórico de tarefas,История задач,Görev Geçmişi,,任务历史
,Contacto y perfil de la empresa,Contato e Perfil da Empresa,Профиль контакта и компании,İletişim ve Şirket Profili,,联系人及公司信息
,Comprende la interacción de diferentes actividades,Entenda o Engajamento em Todas as Atividades,Анализируйте взаимодействие через активность контакта,Faaliyetler Arasındaki Katılımı Anlayın,,全面掌握每场活动的互动数据
,Haz crecer tu comunidad al saber todo sobre tus contactos y organizaciones.,Expanda sua comunidade sabendo tudo sobre seus contatos e organizações.,"Развивайте свое сообщество, зная все о своих контактах и организациях. ",Kişileriniz ve kuruluşlarınız hakkında her şeyi bilerek topluluğunuzu büyütün.,,通过深度了解您的联系人与组织机构信息，实现社群发展。
,"Los perfiles de contacto y empresa muestran el historial de actividades para que sepas a qué eventos han asistido, qué correos electrónicos han leído y cuánto dinero han gastado.","Perfis de Contatos e Empresas mostram o histórico de atividades para que você saiba quais eventos eles participaram, quais e-mails leram e quanto dinheiro gastou.","Профили контактов и компаний показывают историю активности, какие мероприятия они посетили, какие кампании они получили и все платежи."," İletişim ve Şirket profilleri, etkinlik geçmişini gösterir, böylece hangi etkinliklere katıldıklarını, hangi e-postaları okuduklarını ve ne kadar para harcadıklarını bilirsiniz.",,在“联系人及公司信息”模块，您可以清晰地看到联系人的活动历史，如参加过哪些活动，打开过哪些营销邮件，支出了多少费用等等。
,Tendencias de contactos,Insights de Contatos,Статистика контакта, İletişim Bilgileri,,联系人数据可视化
,Tableros personalizabas ,Painéis de Controle Personalizáveis,Настраиваемые информационные панели,Özelleştirilebilir gösterge tabloları,,自定义控制面板
,Historial de finanzas,Histórico de finanças,История финансов,Finans geçmişi,,财务历史
,Sincronización automática,Sincronização automática,Автоматическая синхронизация,Otomatik senkronizasyon,,各项数据自动同步
,Listas Inteligentes & Búsqueda Avanzada,Listas Inteligentes e Pesquisa Avançada,Смарт-листы и расширенный поиск,Akıllı Listeler ve Gelişmiş Arama,,智能列表 & 高级搜索
,Personaliza tu acercamiento,Personalize Sua Abordagem,Персонализируйте свой подход,Yaklaşımınızı Kişiselleştirin,,个性化云端管理
,Busca y guarda contactos fácilmente en diferentes listas para que puedas personalizar tus actividades de marketing y mantenerte enfocado.,Pesquise e salve contatos facilmente em diferentes listas para que você possa personalizar suas atividades de marketing e permaneça focado.,"С легкостью находите и сохраняйте контакты в различных списках, чтобы вы могли персонализировать маркетинг и нацелевать его на правильную аудиторию. "," Kolayca arama yapın ve kişileri farklı listelere kaydedin, böylece pazarlama faaliyetlerinizi kişiselleştirebilir ve hedefinizi koruyabilirsiniz.",,高级搜索与列表细分，让您可以更轻松地定制个性化营销目标。
,Activa tus datos para unificar la estrategia de comunicación al cliente y mantenerse en contacto con todos los que son esenciales para el crecimiento de su organización.,Ative seus dados para unificar sua estratégia de comunicação com o cliente e manter contato com todos os stakeholders críticos para o crescimento da sua organização.,"Активируйте свои данные, чтобы стандартизировать стратегию коммуникации с клиентами и поддерживать связь со всеми, кто имеет решающее значение для роста вашей организации.",Müşteri iletişim stratejinizi birleştirmek ve kuruluşunuzun büyümesi için kritik öneme sahip herkesle bağlantıda kalmak için verilerinizi etkinleştirin.,,激活联系人数据库，随时调整客户沟通策略，实时掌握每位联系人的详细用户画像，推动组织机构的发展。
,Segmentación de listas,Segmentação de lista,Сегментация списков,Liste segmentasyonu,,列表细分
,Etiquetas & filtros,Tags e Filtros,Теги и фильтры,Etiketler ve filtreler,,标签与筛选
,Importación / exportación fácil ,Importação/Exportação Fácil,Простой импорт/экспорт,Kolay İçeri / Dışarı Aktarım,,快速导入/导出数据
,"Alcanza tus <span class=""line""><ins>Metas </ins></span>","<span class=""line""><ins>Finalize</ins></span> Seu Trabalho ","Доведите всё <span class=""line""><ins>до конца </ins></span>","İşe Başlayın <span class = ""line""> <ins> Bitti </ins> </span>",,"在云端，实现<span class=""line""><ins>高效协作</ins></span>与任务管理"
